,state_abb,model_date,DEM,IND,REP,model,DEM_win_prob,IND_win_prob,REP_win_prob
924,MS,2024-07-08,0.3837,0.0479,0.5679,538,0.0289,0.0,0.9711
925,MS,2024-08-08,0.3859,0.0464,0.5672,538,0.0309,0.0,0.9691
926,MS,2024-09-08,0.3872,0.0444,0.5669,538,0.0325,0.0,0.9675
927,MS,2024-10-08,0.3873,0.0444,0.567,538,0.031,0.0,0.969
928,MS,2024-11-08,0.3878,0.0443,0.5672,538,0.0329,0.0,0.9672
929,MS,2024-12-08,0.3895,0.0435,0.5661,538,0.0308,0.0,0.9692
930,MS,2024-08-13,0.3898,0.0431,0.5658,538,0.0324,0.0,0.9676
931,MS,2024-08-14,0.3889,0.0444,0.5655,538,0.0306,0.0,0.9694
932,MS,2024-08-15,0.3902,0.0442,0.5644,538,0.0313,0.0,0.9687
933,MS,2024-08-16,0.3891,0.0434,0.5665,538,0.029,0.0,0.971
934,MS,2024-08-17,0.3885,0.043,0.5672,538,0.0291,0.0,0.9709
935,MS,2024-08-18,0.3898,0.042,0.5672,538,0.0293,0.0,0.9707
936,MS,2024-08-19,0.3912,0.0418,0.566,538,0.0301,0.0,0.9699
937,MS,2024-08-20,0.3911,0.0418,0.5657,538,0.0308,0.0,0.9692
938,MS,2024-08-21,0.395,0.0391,0.5649,538,0.0339,0.0,0.9661
939,MS,2024-08-22,0.3962,0.0399,0.5628,538,0.0346,0.0,0.9654
940,MS,2024-08-23,0.397,0.0394,0.563,538,0.0348,0.0,0.9652
941,MS,2024-08-24,0.4162,,0.5838,538,0.0335,,0.9665
942,MS,2024-08-25,0.4167,,0.5833,538,0.0344,,0.9656
943,MS,2024-07-26,0.3827,0.0433,0.5721,538,0.0285,0.0,0.9715
944,MS,2024-08-26,0.4171,,0.5829,538,0.0324,,0.9676
945,MS,2024-07-27,0.3834,0.0431,0.5724,538,0.0296,0.0,0.9704
946,MS,2024-08-27,0.416,,0.584,538,0.0315,,0.9685
947,MS,2024-07-28,0.3832,0.0426,0.5731,538,0.0304,0.0,0.9696
948,MS,2024-08-28,0.4161,,0.5839,538,0.033,,0.967
949,MS,2024-07-29,0.3829,0.0424,0.573,538,0.0272,0.0,0.9728
950,MS,2024-07-30,0.3837,0.0444,0.571,538,0.0298,0.0,0.9702
951,MS,2024-07-31,0.3813,0.0465,0.5709,538,0.0282,0.0,0.9718
952,MT,2024-01-08,0.3766,0.0574,0.5654,538,0.0288,0.0,0.9712
953,MT,2024-02-08,0.3779,0.0576,0.5643,538,0.0287,0.0,0.9713
954,MT,2024-03-08,0.3788,0.0574,0.563,538,0.0287,0.0,0.9713
955,MT,2024-04-08,0.379,0.0562,0.5647,538,0.0285,0.0,0.9715
956,MT,2024-05-08,0.3802,0.0571,0.5619,538,0.0315,0.0,0.9685
957,MT,2024-06-08,0.378,0.0583,0.5634,538,0.0282,0.0,0.9718
958,MT,2024-07-08,0.3779,0.0595,0.5621,538,0.03,0.0,0.97
959,MT,2024-08-08,0.3827,0.057,0.5598,538,0.0326,0.0,0.9674
960,MT,2024-09-08,0.3848,0.0548,0.5596,538,0.0341,0.0,0.9659
961,MT,2024-10-08,0.3845,0.0552,0.5599,538,0.0335,0.0,0.9665
962,MT,2024-11-08,0.3847,0.0548,0.5599,538,0.0349,0.0,0.9652
963,MT,2024-12-08,0.3868,0.0539,0.5589,538,0.0343,0.0,0.9657
964,MT,2024-08-13,0.3864,0.0537,0.5588,538,0.0346,0.0,0.9654
965,MT,2024-08-14,0.3871,0.0548,0.5576,538,0.035,0.0,0.965
966,MT,2024-08-15,0.3964,0.048,0.5545,538,0.044,0.0,0.956
967,MT,2024-08-16,0.3959,0.0478,0.5554,538,0.0412,0.0,0.9588
968,MT,2024-08-17,0.3954,0.0475,0.5561,538,0.0408,0.0,0.9592
969,MT,2024-08-18,0.396,0.0469,0.5561,538,0.0407,0.0,0.9593
970,MT,2024-08-19,0.3962,0.0473,0.5557,538,0.04,0.0,0.96
971,MT,2024-08-20,0.3973,0.0466,0.5552,538,0.041,0.0,0.959
972,MT,2024-08-21,0.4003,0.0436,0.5552,538,0.0461,0.0,0.9539
973,MT,2024-08-22,0.3982,0.0454,0.5552,538,0.0428,0.0,0.9572
974,MT,2024-08-23,0.399,0.0447,0.5555,538,0.0397,0.0,0.9603
975,MT,2024-08-24,0.4217,,0.5784,538,0.0443,,0.9557
976,MT,2024-08-25,0.4228,,0.5772,538,0.0418,,0.9582
977,MT,2024-07-26,0.3792,0.0532,0.5674,538,0.0283,0.0,0.9717
978,MT,2024-08-26,0.4224,,0.5776,538,0.041,,0.959
979,MT,2024-07-27,0.3792,0.0526,0.5677,538,0.0331,0.0,0.9669
980,MT,2024-08-27,0.4219,,0.5781,538,0.0377,,0.9623
981,MT,2024-07-28,0.3785,0.0523,0.5678,538,0.0314,0.0,0.9686
982,MT,2024-08-28,0.4215,,0.5785,538,0.0383,,0.9617
983,MT,2024-07-29,0.3789,0.052,0.5684,538,0.0285,0.0,0.9715
984,MT,2024-07-30,0.3793,0.0543,0.5657,538,0.0299,0.0,0.9701
985,MT,2024-07-31,0.3773,0.0567,0.5663,538,0.0279,0.0,0.9721
986,NC,2024-01-08,0.4575,0.0473,0.4938,538,0.3499,0.0,0.6501
987,NC,2024-02-08,0.4588,0.0474,0.4929,538,0.3596,0.0,0.6404
988,NC,2024-03-08,0.4589,0.0478,0.4925,538,0.3611,0.0,0.6389
989,NC,2024-04-08,0.4595,0.0465,0.4933,538,0.3624,0.0,0.6376
990,NC,2024-05-08,0.4602,0.0472,0.492,538,0.3667,0.0,0.6333
991,NC,2024-06-08,0.4624,0.0447,0.4915,538,0.3771,0.0,0.6229
992,NC,2024-07-08,0.4631,0.0454,0.4903,538,0.3866,0.0,0.6134
993,NC,2024-08-08,0.4642,0.046,0.4887,538,0.3996,0.0,0.6004
994,NC,2024-09-08,0.4669,0.0426,0.4892,538,0.4052,0.0,0.5948
995,NC,2024-10-08,0.4665,0.0426,0.489,538,0.4037,0.0,0.5963
996,NC,2024-11-08,0.4697,0.0394,0.4895,538,0.4157,0.0,0.5843
997,NC,2024-12-08,0.4706,0.0387,0.4896,538,0.4205,0.0,0.5795
998,NC,2024-08-13,0.4711,0.0387,0.4891,538,0.4235,0.0,0.5765
999,NC,2024-08-14,0.4726,0.0393,0.4873,538,0.4359,0.0,0.5641
1000,NC,2024-08-15,0.4726,0.0395,0.4868,538,0.4378,0.0,0.5622
1001,NC,2024-08-16,0.4715,0.0392,0.4882,538,0.4267,0.0,0.5733
1002,NC,2024-08-17,0.4727,0.0393,0.4867,538,0.4365,0.0,0.5635
1003,NC,2024-08-18,0.4733,0.0394,0.4863,538,0.442,0.0,0.558
1004,NC,2024-08-19,0.4747,0.0388,0.4853,538,0.4529,0.0,0.5471
1005,NC,2024-08-20,0.4759,0.0379,0.4845,538,0.4616,0.0,0.5384
1006,NC,2024-08-21,0.4792,0.0365,0.483,538,0.4826,0.0,0.5174
1007,NC,2024-08-22,0.4796,0.0361,0.4831,538,0.4843,0.0,0.5157
1008,NC,2024-08-23,0.4795,0.0355,0.4841,538,0.481,0.0,0.519
1009,NC,2024-08-24,0.4984,,0.5016,538,0.4873,,0.5127
1010,NC,2024-08-25,0.499,,0.501,538,0.4914,,0.5086
1011,NC,2024-07-26,0.4586,0.0441,0.4962,538,0.3485,0.0,0.6515
1012,NC,2024-08-26,0.4989,,0.5011,538,0.4891,,0.5109
1013,NC,2024-07-27,0.4586,0.0442,0.4969,538,0.3452,0.0,0.6549
1014,NC,2024-08-27,0.4967,,0.5033,538,0.4682,,0.5318
1015,NC,2024-07-28,0.458,0.0435,0.4971,538,0.343,0.0,0.657
1016,NC,2024-08-28,0.4967,,0.5033,538,0.4698,,0.5302
1017,NC,2024-07-29,0.4578,0.0432,0.4978,538,0.3424,0.0,0.6576
1018,NC,2024-07-30,0.4592,0.0452,0.4946,538,0.3528,0.0,0.6472
1019,NC,2024-07-31,0.4573,0.0477,0.4943,538,0.3483,0.0,0.6517
1020,ND,2024-01-08,0.291,0.0625,0.6464,538,0.0005,0.0,0.9995
1021,ND,2024-02-08,0.2922,0.0622,0.6451,538,0.0003,0.0,0.9997
1022,ND,2024-03-08,0.2925,0.0626,0.644,538,0.0007,0.0,0.9993
1023,ND,2024-04-08,0.2932,0.0615,0.6453,538,0.0006,0.0,0.9994
1024,ND,2024-05-08,0.2943,0.0623,0.6431,538,0.0005,0.0,0.9995
1025,ND,2024-06-08,0.2925,0.0635,0.6436,538,0.0004,0.0,0.9996
1026,ND,2024-07-08,0.2924,0.0646,0.6429,538,0.0003,0.0,0.9997
1027,ND,2024-08-08,0.2946,0.0631,0.6414,538,0.0003,0.0,0.9997
1028,ND,2024-09-08,0.2967,0.0611,0.6422,538,0.0007,0.0,0.9993
1029,ND,2024-10-08,0.2965,0.061,0.6419,538,0.0004,0.0,0.9996
1030,ND,2024-11-08,0.296,0.0604,0.6424,538,0.0004,0.0,0.9996
1031,ND,2024-12-08,0.2989,0.0594,0.6412,538,0.0005,0.0,0.9995
1032,ND,2024-08-13,0.2986,0.0593,0.6414,538,0.0006,0.0,0.9994
1033,ND,2024-08-14,0.2977,0.0602,0.6409,538,0.0005,0.0,0.9995
1034,ND,2024-08-15,0.2992,0.0603,0.6399,538,0.0003,0.0,0.9997
1035,ND,2024-08-16,0.2983,0.0594,0.6422,538,0.0005,0.0,0.9995
1036,ND,2024-08-17,0.2973,0.0592,0.6426,538,0.0005,0.0,0.9995
1037,ND,2024-08-18,0.2983,0.0581,0.6427,538,0.0004,0.0,0.9996
1038,ND,2024-08-19,0.3,0.0581,0.6411,538,0.0004,0.0,0.9996
1039,ND,2024-08-20,0.3006,0.0578,0.6411,538,0.0004,0.0,0.9996
1040,ND,2024-08-21,0.3037,0.0548,0.641,538,0.0004,0.0,0.9996
1041,ND,2024-08-22,0.3042,0.0555,0.6396,538,0.0005,0.0,0.9995
1042,ND,2024-08-23,0.3051,0.0551,0.6394,538,0.0006,0.0,0.9994
1043,ND,2024-08-24,0.331,,0.669,538,0.0003,,0.9997
1044,ND,2024-08-25,0.3314,,0.6686,538,0.0004,,0.9996
1045,ND,2024-07-26,0.2918,0.0574,0.6496,538,0.0008,0.0,0.9992
1046,ND,2024-08-26,0.3316,,0.6684,538,0.0004,,0.9996
1047,ND,2024-07-27,0.2922,0.0575,0.6492,538,0.0008,0.0,0.9992
1048,ND,2024-08-27,0.3309,,0.6691,538,0.0005,,0.9995
1049,ND,2024-07-28,0.2919,0.0574,0.65,538,0.0006,0.0,0.9994
1050,ND,2024-08-28,0.3306,,0.6694,538,0.0003,,0.9997
1051,ND,2024-07-29,0.2924,0.0568,0.6496,538,0.0005,0.0,0.9995
1052,ND,2024-07-30,0.2929,0.059,0.647,538,0.0001,0.0,0.9999
1053,ND,2024-07-31,0.2913,0.0619,0.6464,538,0.0004,0.0,0.9996
1054,NE,2024-01-08,0.3654,0.0534,0.5801,538,0.0171,0.0,0.9829
1055,NE,2024-02-08,0.3662,0.0535,0.5793,538,0.0168,0.0,0.9832
1056,NE,2024-03-08,0.3672,0.0538,0.5781,538,0.0152,0.0,0.9848
1057,NE,2024-04-08,0.3675,0.0529,0.5788,538,0.0179,0.0,0.9821
1058,NE,2024-05-08,0.3687,0.053,0.5776,538,0.0163,0.0,0.9837
1059,NE,2024-06-08,0.3665,0.0543,0.5782,538,0.015,0.0,0.985
1060,NE,2024-07-08,0.3668,0.0557,0.5765,538,0.0163,0.0,0.9837
1061,NE,2024-08-08,0.369,0.0546,0.5758,538,0.0164,0.0,0.9836
1062,NE,2024-09-08,0.3716,0.052,0.5759,538,0.0166,0.0,0.9834
1063,NE,2024-10-08,0.3706,0.0522,0.5761,538,0.0163,0.0,0.9837
1064,NE,2024-11-08,0.3708,0.0517,0.5764,538,0.017,0.0,0.9831
1065,NE,2024-12-08,0.374,0.0508,0.575,538,0.0171,0.0,0.9829
1066,NE,2024-08-13,0.3737,0.0503,0.5753,538,0.0186,0.0,0.9814
1067,NE,2024-08-14,0.3725,0.0514,0.5753,538,0.0161,0.0,0.9839
1068,NE,2024-08-15,0.3734,0.0515,0.574,538,0.0178,0.0,0.9822
1069,NE,2024-08-16,0.3727,0.0506,0.5761,538,0.0154,0.0,0.9846
1070,NE,2024-08-17,0.372,0.0505,0.5767,538,0.0148,0.0,0.9852
1071,NE,2024-08-18,0.3734,0.0491,0.5767,538,0.0144,0.0,0.9856
1072,NE,2024-08-19,0.3749,0.0494,0.5749,538,0.0166,0.0,0.9834
1073,NE,2024-08-20,0.375,0.049,0.5751,538,0.0161,0.0,0.9839
1074,NE,2024-08-21,0.3796,0.0459,0.5739,538,0.0184,0.0,0.9816
1075,NE,2024-08-22,0.3802,0.0467,0.572,538,0.0198,0.0,0.9802
1076,NE,2024-08-23,0.3807,0.0462,0.5718,538,0.0187,0.0,0.9813
1077,NE,2024-08-24,0.4041,,0.5959,538,0.0183,,0.9817
1078,NE,2024-08-25,0.4046,,0.5954,538,0.0175,,0.9825
1079,NE,2024-07-26,0.3666,0.0502,0.5825,538,0.0181,0.0,0.9819
1080,NE,2024-08-26,0.4048,,0.5952,538,0.0185,,0.9815
1081,NE,2024-07-27,0.3665,0.0498,0.5828,538,0.0181,0.0,0.9819
1082,NE,2024-08-27,0.4038,,0.5962,538,0.0172,,0.9828
1083,NE,2024-07-28,0.3671,0.0492,0.5832,538,0.017,0.0,0.983
1084,NE,2024-08-28,0.4038,,0.5962,538,0.0169,,0.9831
1085,NE,2024-07-29,0.3666,0.0489,0.5831,538,0.0165,0.0,0.9835
1086,NE,2024-07-30,0.3672,0.0512,0.5813,538,0.0185,0.0,0.9815
1087,NE,2024-07-31,0.3658,0.0536,0.5801,538,0.0154,0.0,0.9846
1088,NE-01,2024-01-08,0.3832,0.0604,0.5558,538,0.039,0.0,0.961
1089,NE-01,2024-02-08,0.3836,0.0603,0.5552,538,0.0396,0.0,0.9604
1090,NE-01,2024-03-08,0.3839,0.0607,0.5549,538,0.0387,0.0,0.9613
1091,NE-01,2024-04-08,0.3843,0.0593,0.5557,538,0.0414,0.0,0.9586
1092,NE-01,2024-05-08,0.3861,0.0606,0.553,538,0.0403,0.0,0.9597
1093,NE-01,2024-06-08,0.3837,0.0617,0.5547,538,0.0391,0.0,0.9609
1094,NE-01,2024-07-08,0.3843,0.0632,0.5531,538,0.0405,0.0,0.9595
1095,NE-01,2024-08-08,0.386,0.0615,0.5527,538,0.04,0.0,0.96
1096,NE-01,2024-09-08,0.3886,0.0589,0.5524,538,0.0426,0.0,0.9574
1097,NE-01,2024-10-08,0.388,0.0593,0.5526,538,0.0422,0.0,0.9578
1098,NE-01,2024-11-08,0.3882,0.0588,0.5522,538,0.0432,0.0,0.9569
1099,NE-01,2024-12-08,0.3908,0.058,0.5514,538,0.0441,0.0,0.9559
1100,NE-01,2024-08-13,0.3907,0.0573,0.5514,538,0.0456,0.0,0.9544
1101,NE-01,2024-08-14,0.3901,0.0585,0.5513,538,0.0419,0.0,0.9581
1102,NE-01,2024-08-15,0.391,0.0588,0.55,538,0.0421,0.0,0.9579
1103,NE-01,2024-08-16,0.3902,0.0577,0.5521,538,0.0406,0.0,0.9594
1104,NE-01,2024-08-17,0.3891,0.0576,0.5528,538,0.0392,0.0,0.9608
1105,NE-01,2024-08-18,0.3902,0.0562,0.5531,538,0.041,0.0,0.959
1106,NE-01,2024-08-19,0.3924,0.0563,0.5511,538,0.04,0.0,0.96
1107,NE-01,2024-08-20,0.392,0.0558,0.5516,538,0.042,0.0,0.958
1108,NE-01,2024-08-21,0.3961,0.0527,0.5501,538,0.0475,0.0,0.9525
1109,NE-01,2024-08-22,0.3968,0.0539,0.5483,538,0.0495,0.0,0.9505
1110,NE-01,2024-08-23,0.3976,0.0534,0.5483,538,0.0478,0.0,0.9522
1111,NE-01,2024-08-24,0.4247,,0.5753,538,0.0448,,0.9552
1112,NE-01,2024-08-25,0.4249,,0.5751,538,0.0456,,0.9544
1113,NE-01,2024-07-26,0.3846,0.0558,0.5588,538,0.0403,0.0,0.9597
1114,NE-01,2024-08-26,0.4248,,0.5752,538,0.0485,,0.9515
1115,NE-01,2024-07-27,0.3844,0.0559,0.5586,538,0.0419,0.0,0.9581
1116,NE-01,2024-08-27,0.4238,,0.5762,538,0.0435,,0.9565
1117,NE-01,2024-07-28,0.3845,0.056,0.5588,538,0.0408,0.0,0.9592
1118,NE-01,2024-08-28,0.4236,,0.5764,538,0.0428,,0.9572
1119,NE-01,2024-07-29,0.3842,0.0555,0.5596,538,0.0398,0.0,0.9602
1120,NE-01,2024-07-30,0.3853,0.0574,0.5574,538,0.0398,0.0,0.9602
1121,NE-01,2024-07-31,0.383,0.0604,0.5565,538,0.0378,0.0,0.9622
1122,NE-02,2024-01-08,0.4891,0.0579,0.4525,538,0.653,0.0,0.347
1123,NE-02,2024-02-08,0.4902,0.0578,0.4521,538,0.6551,0.0,0.3449
1124,NE-02,2024-03-08,0.4905,0.058,0.4512,538,0.6604,0.0,0.3396
1125,NE-02,2024-04-08,0.4916,0.0569,0.4524,538,0.6608,0.0,0.3392
1126,NE-02,2024-05-08,0.4922,0.0572,0.4493,538,0.6756,0.0,0.3244
1127,NE-02,2024-06-08,0.4896,0.059,0.451,538,0.6607,0.0,0.3393
1128,NE-02,2024-07-08,0.4895,0.0602,0.4501,538,0.6628,0.0,0.3372
1129,NE-02,2024-08-08,0.4923,0.059,0.4483,538,0.6775,0.0,0.3225
1130,NE-02,2024-09-08,0.4934,0.0566,0.4493,538,0.6778,0.0,0.3222
1131,NE-02,2024-10-08,0.4931,0.0571,0.4495,538,0.6811,0.0,0.3189
1132,NE-02,2024-11-08,0.494,0.0565,0.4492,538,0.6816,0.0,0.3184
1133,NE-02,2024-12-08,0.4968,0.0551,0.447,538,0.7046,0.0,0.2954
1134,NE-02,2024-08-13,0.4962,0.0553,0.4479,538,0.7019,0.0,0.2981
1135,NE-02,2024-08-14,0.4951,0.0566,0.448,538,0.6979,0.0,0.3021
1136,NE-02,2024-08-15,0.4964,0.0565,0.447,538,0.7077,0.0,0.2923
1137,NE-02,2024-08-16,0.4955,0.0554,0.4487,538,0.699,0.0,0.301
1138,NE-02,2024-08-17,0.4949,0.0551,0.4492,538,0.693,0.0,0.307
1139,NE-02,2024-08-18,0.4955,0.0541,0.4493,538,0.6942,0.0,0.3058
1140,NE-02,2024-08-19,0.4974,0.0544,0.4478,538,0.7105,0.0,0.2895
1141,NE-02,2024-08-20,0.4999,0.0524,0.4467,538,0.7218,0.0,0.2782
1142,NE-02,2024-08-21,0.5035,0.0495,0.446,538,0.739,0.0,0.261
1143,NE-02,2024-08-22,0.5028,0.0504,0.4462,538,0.7378,0.0,0.2622
1144,NE-02,2024-08-23,0.5038,0.0499,0.4459,538,0.7438,0.0,0.2562
1145,NE-02,2024-08-24,0.5289,,0.4711,538,0.7407,,0.2593
1146,NE-02,2024-08-25,0.5288,,0.4712,538,0.7455,,0.2545
1147,NE-02,2024-07-26,0.4911,0.0535,0.4545,538,0.6457,0.0,0.3543
1148,NE-02,2024-08-26,0.5294,,0.4706,538,0.7469,,0.2531
1149,NE-02,2024-07-27,0.4913,0.0539,0.4545,538,0.6496,0.0,0.3504
1150,NE-02,2024-08-27,0.5286,,0.4714,538,0.7421,,0.2579
1151,NE-02,2024-07-28,0.4896,0.0533,0.456,538,0.636,0.0,0.364
1152,NE-02,2024-08-28,0.5281,,0.4719,538,0.7401,,0.2599
1153,NE-02,2024-07-29,0.4904,0.0524,0.4553,538,0.6435,0.0,0.3565
1154,NE-02,2024-07-30,0.4905,0.0547,0.4532,538,0.652,0.0,0.348
1155,NE-02,2024-07-31,0.4892,0.0572,0.453,538,0.6491,0.0,0.3509
1156,NE-03,2024-01-08,0.198,0.0551,0.7457,538,0.0,0.0,1.0
1157,NE-03,2024-02-08,0.1992,0.0552,0.7442,538,0.0,0.0,1.0
1158,NE-03,2024-03-08,0.1992,0.0557,0.744,538,0.0,0.0,1.0
1159,NE-03,2024-04-08,0.2,0.0542,0.7447,538,0.0,0.0,1.0
1160,NE-03,2024-05-08,0.2016,0.055,0.7423,538,0.0,0.0,1.0
1161,NE-03,2024-06-08,0.1997,0.0562,0.7432,538,0.0,0.0,1.0
1162,NE-03,2024-07-08,0.1995,0.0571,0.7424,538,0.0,0.0,1.0
1163,NE-03,2024-08-08,0.2015,0.0558,0.7416,538,0.0,0.0,1.0
1164,NE-03,2024-09-08,0.203,0.0535,0.7421,538,0.0,0.0,1.0
1165,NE-03,2024-10-08,0.2028,0.054,0.7419,538,0.0,0.0,1.0
1166,NE-03,2024-11-08,0.2027,0.0537,0.7426,538,0.0,0.0,1.0
1167,NE-03,2024-12-08,0.2051,0.0527,0.7415,538,0.0,0.0,1.0
1168,NE-03,2024-08-13,0.2055,0.0522,0.7415,538,0.0,0.0,1.0
1169,NE-03,2024-08-14,0.2042,0.0537,0.7412,538,0.0,0.0,1.0
1170,NE-03,2024-08-15,0.2053,0.0538,0.74,538,0.0,0.0,1.0
1171,NE-03,2024-08-16,0.2048,0.0527,0.7417,538,0.0,0.0,1.0
1172,NE-03,2024-08-17,0.204,0.0523,0.7424,538,0.0,0.0,1.0
1173,NE-03,2024-08-18,0.2049,0.0509,0.7428,538,0.0,0.0,1.0
1174,NE-03,2024-08-19,0.2065,0.0514,0.741,538,0.0,0.0,1.0
1175,NE-03,2024-08-20,0.2069,0.051,0.7409,538,0.0,0.0,1.0
1176,NE-03,2024-08-21,0.2098,0.0482,0.7409,538,0.0,0.0,1.0
1177,NE-03,2024-08-22,0.2105,0.0492,0.7388,538,0.0,0.0,1.0
1178,NE-03,2024-08-23,0.2113,0.0488,0.7389,538,0.0,0.0,1.0
1179,NE-03,2024-08-24,0.2341,,0.7659,538,0.0,,1.0
1180,NE-03,2024-08-25,0.2341,,0.7659,538,0.0,,1.0
1181,NE-03,2024-07-26,0.1983,0.0514,0.7491,538,0.0,0.0,1.0
1182,NE-03,2024-08-26,0.235,,0.765,538,0.0,,1.0
1183,NE-03,2024-07-27,0.1977,0.0516,0.7494,538,0.0,0.0,1.0
1184,NE-03,2024-08-27,0.2344,,0.7656,538,0.0001,,0.9999
1185,NE-03,2024-07-28,0.1977,0.051,0.7498,538,0.0,0.0,1.0
1186,NE-03,2024-08-28,0.2344,,0.7656,538,0.0,,1.0
1187,NE-03,2024-07-29,0.1982,0.0505,0.7497,538,0.0,0.0,1.0
1188,NE-03,2024-07-30,0.1985,0.0528,0.7477,538,0.0,0.0,1.0
1189,NE-03,2024-07-31,0.1979,0.055,0.745,538,0.0,0.0,1.0
1190,NH,2024-01-08,0.5041,0.0451,0.4496,538,0.7174,0.0,0.2826
1191,NH,2024-02-08,0.5033,0.045,0.4507,538,0.7098,0.0,0.2902
1192,NH,2024-03-08,0.5041,0.0449,0.449,538,0.7131,0.0,0.2869
1193,NH,2024-04-08,0.5041,0.0449,0.4501,538,0.7123,0.0,0.2877
1194,NH,2024-05-08,0.505,0.045,0.4491,538,0.7249,0.0,0.2751
1195,NH,2024-06-08,0.5019,0.0457,0.4508,538,0.7111,0.0,0.2889
1196,NH,2024-07-08,0.5026,0.0468,0.4499,538,0.7109,0.0,0.2891
1197,NH,2024-08-08,0.5036,0.0473,0.4477,538,0.7223,0.0,0.2777
1198,NH,2024-09-08,0.5045,0.0462,0.4486,538,0.7285,0.0,0.2715
1199,NH,2024-10-08,0.5049,0.0458,0.4483,538,0.7327,0.0,0.2673
1200,NH,2024-11-08,0.5052,0.0459,0.4477,538,0.7295,0.0,0.2706
1201,NH,2024-12-08,0.5074,0.0453,0.4463,538,0.7475,0.0,0.2525
1202,NH,2024-08-13,0.5069,0.045,0.447,538,0.7464,0.0,0.2536
1203,NH,2024-08-14,0.507,0.0459,0.4465,538,0.748,0.0,0.252
1204,NH,2024-08-15,0.5074,0.046,0.4457,538,0.7519,0.0,0.2481
1205,NH,2024-08-16,0.5064,0.0458,0.4469,538,0.7456,0.0,0.2545
1206,NH,2024-08-17,0.506,0.0455,0.4474,538,0.7384,0.0,0.2616
1207,NH,2024-08-18,0.5063,0.0452,0.4477,538,0.7445,0.0,0.2555
1208,NH,2024-08-19,0.5115,0.0398,0.4479,538,0.7604,0.0,0.2396
1209,NH,2024-08-20,0.5112,0.0394,0.4479,538,0.7604,0.0,0.2396
1210,NH,2024-08-21,0.513,0.0386,0.447,538,0.7688,0.0,0.2312
1211,NH,2024-08-22,0.5131,0.0392,0.4466,538,0.7709,0.0,0.2291
1212,NH,2024-08-23,0.5134,0.0387,0.4472,538,0.7741,0.0,0.2259
1213,NH,2024-08-24,0.5332,,0.4668,538,0.7666,,0.2334
1214,NH,2024-08-25,0.533,,0.467,538,0.7743,,0.2257
1215,NH,2024-07-26,0.5006,0.0457,0.4522,538,0.6946,0.0,0.3054
1216,NH,2024-08-26,0.534,,0.466,538,0.7753,,0.2247
1217,NH,2024-07-27,0.501,0.0458,0.4524,538,0.6925,0.0,0.3075
1218,NH,2024-08-27,0.5321,,0.4679,538,0.771,,0.229
1219,NH,2024-07-28,0.5002,0.0454,0.4527,538,0.6871,0.0,0.3129
1220,NH,2024-08-28,0.5323,,0.4677,538,0.7679,,0.2321
1221,NH,2024-07-29,0.5007,0.0454,0.4528,538,0.6917,0.0,0.3083
1222,NH,2024-07-30,0.4998,0.0469,0.4518,538,0.6934,0.0,0.3066
1223,NH,2024-07-31,0.5041,0.0444,0.4506,538,0.7146,0.0,0.2854
1224,NJ,2024-01-08,0.5407,0.0453,0.4124,538,0.906,0.0,0.094
1225,NJ,2024-02-08,0.5419,0.0456,0.4109,538,0.9136,0.0,0.0864
1226,NJ,2024-03-08,0.5425,0.0456,0.4107,538,0.9183,0.0,0.0817
1227,NJ,2024-04-08,0.543,0.0446,0.4115,538,0.9134,0.0,0.0866
1228,NJ,2024-05-08,0.5444,0.0454,0.4094,538,0.9197,0.0,0.0803
1229,NJ,2024-06-08,0.5419,0.0465,0.4107,538,0.9155,0.0,0.0845
1230,NJ,2024-07-08,0.5421,0.0474,0.4098,538,0.9146,0.0,0.0854
1231,NJ,2024-08-08,0.5439,0.0458,0.4086,538,0.9258,0.0,0.0742
1232,NJ,2024-09-08,0.5462,0.0439,0.409,538,0.9257,0.0,0.0743
1233,NJ,2024-10-08,0.5458,0.044,0.409,538,0.9276,0.0,0.0724
1234,NJ,2024-11-08,0.5461,0.0433,0.4088,538,0.9294,0.0,0.0707
1235,NJ,2024-12-08,0.5481,0.0431,0.4077,538,0.9336,0.0,0.0664
1236,NJ,2024-08-13,0.5482,0.0427,0.4077,538,0.9354,0.0,0.0646
1237,NJ,2024-08-14,0.5476,0.0439,0.4074,538,0.9352,0.0,0.0648
1238,NJ,2024-08-15,0.5485,0.0437,0.4066,538,0.9368,0.0,0.0632
1239,NJ,2024-08-16,0.5478,0.0429,0.4081,538,0.9369,0.0,0.0631
1240,NJ,2024-08-17,0.5468,0.0427,0.4092,538,0.9336,0.0,0.0664
1241,NJ,2024-08-18,0.5479,0.0414,0.4093,538,0.9344,0.0,0.0656
1242,NJ,2024-08-19,0.5495,0.0415,0.4084,538,0.9417,0.0,0.0583
1243,NJ,2024-08-20,0.5498,0.0413,0.4076,538,0.9398,0.0,0.0602
1244,NJ,2024-08-21,0.5533,0.039,0.4069,538,0.9474,0.0,0.0526
1245,NJ,2024-08-22,0.5541,0.0398,0.4047,538,0.9476,0.0,0.0524
1246,NJ,2024-08-23,0.5551,0.039,0.405,538,0.9522,0.0,0.0478
1247,NJ,2024-08-24,0.5756,,0.4244,538,0.9525,,0.0475
1248,NJ,2024-08-25,0.5765,,0.4235,538,0.9562,,0.0438
1249,NJ,2024-07-26,0.5422,0.0424,0.4135,538,0.9096,0.0,0.0904
